row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,region,product_id,category,sub_category,sales
1,CA-2017-152156,8/11/2017 0:00,11/11/2017 0:00,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96
2,CA-2017-152156,8/11/2017 0:00,11/11/2017 0:00,Second Class,CG-12520,Claire Gute,Consumer,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.94
3,CA-2017-138688,12/6/2017 0:00,6/16/2017 0:00,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62
4,US-2016-108966,11/10/2016 0:00,10/18/2016 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775
5,US-2016-108966,11/10/2016 0:00,10/18/2016 0:00,Standard Class,SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368
6,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86
7,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28
8,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,907.152
9,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504
10,CA-2015-115812,9/6/2015 0:00,6/14/2015 0:00,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9
